Zipcode,Monday-Friday,Monday-Sunday,Monday-Sunday,Monday-Friday,Monday-Friday,Monday-Friday,Saturday,Sunday,Monday-Friday,Monday-Friday,Monday-Sunday,Monday-Friday,Monday-Friday,Monday-Friday,Saturday,Sunday
'',7am-8am,8am-10am(Monday-Friday only),"9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm,3pm-5pm,4pm-6pm",7am-8am,"8am-10am,9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm",4pm-6pm,"9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm","10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm",7am-8am,8am-10am(Monday-Friday only),"9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm,3pm-5pm,4pm-6pm",7am-8am,"8am-10am,9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm","3pm-5pm,4pm-6pm","9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm","10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm"
'', Lighting Direct Price , Lighting Direct Price , Lighting Direct Price , US Messenger , US Messenger , US Messenger , US Messenger , US Messenger , Sugar Bliss Price using LS , Sugar Bliss Price using LS , Sugar Bliss Price using LS , Sugar Bliss Price using USM , Sugar Bliss Price using USM , Sugar Bliss Price using USM , Sugar Bliss Price using USM , Sugar Bliss Price using USM 
"60601",38,21,15,39,24,39,35,47,33,26,19,39,24,39,35,47
"60602",38,21,15,39,24,39,35,47,33,26,19,39,24,39,35,47
"60603",38,21,15,39,24,39,35,47,33,26,19,39,24,39,35,47
"60604",38,21,15,39,24,39,35,47,33,26,19,39,24,39,35,47
"60605",38,21,15,41,26,41,39,53,33,26,19,41,26,41,39,53
"60606",38,21,15,41,26,41,39,53,33,26,19,41,26,41,39,53
"60654",38,21,15,41,26,41,39,53,33,26,19,41,26,41,39,53
"60661",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60668",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60670",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60673",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60674",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60675",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60677",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60678",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60680",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60681",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60684",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60685",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60687",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60690",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60691",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60693",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60694",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
"60697",38,21,15,37,22,37,33,44,33,26,19,41,26,41,39,53
