Days of the Week, Mon-Fri , Mon-Fri , Mon-Sat , Mon-Fri , Mon-Fri , Mon-Fri , Sat 
Time Windows,7am-8am,8am-10am,"9am-11am, 10am-12pm, 11am-1pm, 12pm-2pm, 1pm-3pm, 2-4pm",7am-8am,8am-10am,"9am-11am, 10am-12pm, 11am-1pm, 12pm-2pm, 1pm-3pm, 2pm-4pm","9am-11am, 10am-12pm, 11am-1pm, 12pm-2pm, 1pm-3pm, 2pm-4pm"
, Sugar Bliss Price using LS , Sugar Bliss Price using LS , Sugar Bliss Price using LS , Sugar Bliss Price using USM , Sugar Bliss Price using USM , Sugar Bliss Price using USM , Sugar Bliss Price using USM 
"60607",64.00,44.00,24.00,42.00,28.00,28.00,39.00
"60608",64.00,44.00,24.00,48.00,33.00,33.00,48.00
"60609",76.00,56.00,30.00,50.00,35.00,35.00,50.00
"60610",64.00,44.00,24.00,41.00,26.00,26.00,36.00
"60611",64.00,44.00,24.00,41.00,26.00,26.00,36.00
"60612",64.00,44.00,24.00,46.00,31.00,31.00,44.00
"60613",64.00,44.00,24.00,49.00,34.00,34.00,49.00
"60614",64.00,44.00,24.00,44.00,29.00,29.00,41.00
"60615",76.00,56.00,30.00,50.00,35.00,35.00,50.00
"60616",64.00,44.00,24.00,45.00,30.00,30.00,42.00
"60617",76.00,56.00,30.00,60.00,45.00,45.00,66.00
"60618",64.00,44.00,24.00,49.00,34.00,34.00,48.00
"60619",76.00,56.00,30.00,57.00,42.00,42.00,60.00
"60621",76.00,56.00,30.00,54.00,39.00,39.00,55.00
"60622",64.00,44.00,24.00,44.00,29.00,29.00,42.00
"60623",64.00,44.00,24.00,50.00,35.00,35.00,50.00
"60624",64.00,44.00,24.00,48.00,33.00,33.00,46.00
"60625",64.00,44.00,24.00,52.00,37.00,37.00,53.00
"60626",64.00,44.00,24.00,54.00,39.00,39.00,57.00
"60628",76.00,56.00,30.00,62.00,47.00,47.00,68.00
"60630",86.00,66.00,35.00,54.00,39.00,39.00,55.00
"60631",86.00,66.00,35.00,58.00,43.00,43.00,62.00
"60632",76.00,56.00,30.00,52.00,37.00,37.00,53.00
"60636",76.00,56.00,30.00,56.00,41.00,41.00,58.00
"60637",76.00,56.00,30.00,54.00,39.00,39.00,56.00
"60639",76.00,56.00,30.00,52.00,37.00,37.00,53.00
"60640",64.00,44.00,24.00,52.00,37.00,37.00,53.00
"60641",76.00,56.00,30.00,53.00,38.00,38.00,55.00
"60642",64.00,44.00,24.00,43.00,28.00,28.00,40.00
"60644",76.00,56.00,30.00,51.00,36.00,36.00,51.00
"60647",64.00,44.00,24.00,47.00,32.00,32.00,46.00
"60649",76.00,56.00,30.00,54.00,39.00,39.00,56.00
"60651",64.00,44.00,24.00,51.00,36.00,36.00,52.00
"60652",76.00,56.00,30.00,61.00,46.00,46.00,67.00
"60653",64.00,44.00,24.00,47.00,32.00,32.00,45.00
"60656",76.00,56.00,30.00,57.00,42.00,42.00,60.00
"60657",64.00,44.00,24.00,48.00,33.00,33.00,47.00
"60659",64.00,44.00,24.00,59.00,44.00,44.00,63.00
"60660",64.00,44.00,24.00,53.00,38.00,38.00,54.00
"60664",64.00,44.00,24.00,44.00,29.00,29.00,41.00
"60669",64.00,44.00,24.00,41.00,26.00,26.00,36.00
"60686",64.00,44.00,24.00,44.00,29.00,29.00,41.00
"60689",64.00,44.00,24.00,40.00,25.00,25.00,36.00
"60695",64.00,44.00,24.00,44.00,29.00,29.00,41.00
"60696",64.00,44.00,24.00,44.00,29.00,29.00,41.00
"60699",64.00,44.00,24.00,41.00,26.00,26.00,36.00
